월,지역,개업,폐업
2026-01,전국,875,1168
2026-02,전국,675,867
2026-03,전국,881,1096
2026-04,전국,777,1100
2026-05,전국,543,880
2026-06,전국,538,1072
2026-01,서울,245,264
2026-02,서울,198,220
2026-03,서울,267,267
2026-04,서울,233,257
2026-05,서울,173,192
2026-06,서울,219,243
2026-01,경기,244,300
2026-02,경기,205,256
2026-03,경기,249,293
2026-04,경기,220,312
2026-05,경기,154,242
2026-06,경기,144,321
2026-01,인천,63,82
2026-02,인천,38,44
2026-03,인천,45,52
2026-04,인천,46,59
2026-05,인천,29,53
2026-06,인천,23,68
2026-01,대전,22,39
2026-02,대전,22,16
2026-03,대전,30,37
2026-04,대전,21,36
2026-05,대전,17,24
2026-06,대전,13,27
2026-01,충북,19,17
2026-02,충북,19,26
2026-03,충북,13,29
2026-04,충북,8,28
2026-05,충북,13,23
2026-06,충북,9,14
2026-01,충남,24,48
2026-02,충남,19,22
2026-03,충남,26,29
2026-04,충남,19,36
2026-05,충남,23,39
2026-06,충남,20,39
2026-01,세종,11,12
2026-02,세종,3,7
2026-03,세종,9,18
2026-04,세종,2,13
2026-05,세종,3,7
2026-06,세종,7,11
2026-01,부산,52,101
2026-02,부산,38,59
2026-03,부산,56,89
2026-04,부산,58,95
2026-05,부산,38,65
2026-06,부산,33,75
2026-01,대구,37,59
2026-02,대구,27,46
2026-03,대구,39,47
2026-04,대구,40,56
2026-05,대구,11,33
2026-06,대구,17,49
2026-01,울산,15,17
2026-02,울산,10,15
2026-03,울산,15,12
2026-04,울산,17,15
2026-05,울산,8,12
2026-06,울산,5,15
2026-01,경북,20,36
2026-02,경북,17,16
2026-03,경북,26,30
2026-04,경북,14,35
2026-05,경북,10,33
2026-06,경북,7,32
2026-01,경남,30,58
2026-02,경남,20,38
2026-03,경남,25,54
2026-04,경남,28,54
2026-05,경남,20,43
2026-06,경남,21,52
2026-01,광주,27,44
2026-02,광주,18,30
2026-03,광주,23,42
2026-04,광주,18,31
2026-05,광주,7,39
2026-06,광주,0,34
2026-01,전북,16,18
2026-02,전북,14,17
2026-03,전북,18,34
2026-04,전북,18,19
2026-05,전북,13,20
2026-06,전북,7,25
2026-01,전남,23,27
2026-02,전남,11,22
2026-03,전남,11,14
2026-04,전남,8,19
2026-05,전남,10,15
2026-06,전남,0,20
2026-01,강원,12,24
2026-02,강원,7,15
2026-03,강원,15,26
2026-04,강원,15,23
2026-05,강원,8,21
2026-06,강원,13,26
2026-01,제주,15,22
2026-02,제주,9,18
2026-03,제주,14,23
2026-04,제주,12,12
2026-05,제주,6,19
2026-06,제주,0,21
